Training with only sequence
Train Epoch: 90 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.751
Val Epoch: 90 [100%] || Time: 0 min 0 || Loss: 6.408 || Reg: 0.000 || Acc: 0.751
Train Epoch: 91 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.754
Train Epoch: 92 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.754
Train Epoch: 93 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.756
Train Epoch: 94 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.759
Train Epoch: 95 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.759
Train Epoch: 96 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.761
Train Epoch: 97 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.762
Train Epoch: 98 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.763
Train Epoch: 99 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.765
Train Epoch: 100 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.766
Train Epoch: 101 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.768
Train Epoch: 102 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.767
Train Epoch: 103 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.769
Train Epoch: 104 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.770
Train Epoch: 105 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.772
Train Epoch: 106 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.772
Train Epoch: 107 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.772
Train Epoch: 108 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.774
Train Epoch: 109 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.776
Train Epoch: 110 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.775
Train Epoch: 111 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.778
Train Epoch: 112 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.778
Train Epoch: 113 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.779
Train Epoch: 114 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.779
Train Epoch: 115 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.780
Train Epoch: 116 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.780
Train Epoch: 117 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.782
Train Epoch: 118 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.783
Train Epoch: 119 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.783
Train Epoch: 120 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.785
Train Epoch: 120 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.785
Val Epoch: 120 [100%] || Time: 0 min 0 || Loss: 7.111 || Reg: 0.000 || Acc: 0.782
Train Epoch: 121 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.785
Train Epoch: 122 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.785
Train Epoch: 123 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.787
Train Epoch: 124 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.787
Train Epoch: 125 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.788
Train Epoch: 126 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.788
Train Epoch: 127 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.789
Train Epoch: 128 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.791
Train Epoch: 129 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.791
Train Epoch: 130 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.792
Train Epoch: 131 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.792
Train Epoch: 132 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.793
Train Epoch: 133 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.793
Train Epoch: 134 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.793
Train Epoch: 135 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.794
Train Epoch: 136 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.795
Train Epoch: 137 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.796
Train Epoch: 138 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.795
Train Epoch: 139 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.797
Train Epoch: 140 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.798
